Name,Salary
Isaiah Hicks,"$77,250"
Isaiah Taylor,"$1,312,611"
Isaiah Thomas,"$6,261,394"
Isaiah Whitehead,"$1,312,611"
Ishmael Smith,"$6,000,000"
Ivan Rabb,"$950,000"
Ivica Zubac,"$1,312,611"
Jabari Bird,"$77,250"
Jabari Parker,"$6,782,392"
Jack Cooley,"$77,250"
Jacob Pullen,"$77,250"
Jacob Wiley,"$77,250"
Jae Crowder,"$6,796,117"
Jahlil Okafor,"$4,995,120"
JaKarr Sampson,"$77,250"
Jake Layman,"$1,312,611"
Jakob Poeltl,"$2,825,640"
Jalen Jones,"$77,250"
Jamal Crawford,"$15,270,762"
Jamal Murray,"$3,355,320"
Jameel Warney,"$46,079"
Jameer Nelson,"$6,998,920"
Jamel Artis,"$77,250"
James Ennis,"$3,028,410"
James Harden,"$28,299,399"
James Johnson,"$13,734,000"
James Michael McAdoo,"$77,250"
James Webb,"$77,250"
James Young,"$77,250"
Jamil Wilson,"$77,250"
JaMychal Green,"$8,533,333"
Jared Dudley,"$10,000,000"
Jarell Eddie,"$166,256"
Jarell Martin,"$1,471,382"
Jarrett Allen,"$1,713,720"
Jarrett Jack,"$2,328,652"
Jason Smith,"$5,225,000"
Jason Terry,"$2,328,652"
Jason Thompson,"$893,333"
JaVale McGee,"$2,116,955"
Jawun Evans,"$815,615"
Jaylen Brown,"$4,956,480"
Jaylen Johnson,"$87,551"
Jaylen Morris,"$198,143"
Jayson Tatum,"$5,645,400"
Jeff Green,"$2,116,955"
Jeff Teague,"$19,000,000"
Jeff Withey,"$593,780"
Jerami Grant,"$1,524,305"
Jeremy Evans,"$154,059"
Jeremy Lamb,"$7,000,000"
Jeremy Lin,"$12,000,000"
Jerian Grant,"$1,713,840"
Jerryd Bayless,"$9,000,000"
Jimmy Butler,"$18,696,918"
JJ Redick,"$23,000,000"
Joakim Noah,"$17,765,000"
Jodie Meeks,"$3,290,000"
Joe Harris,"$1,524,305"
Joe Ingles,"$13,636,364"
Joe Johnson,"$10,254,904"
Joel Bolomboy,"$708,200"
Joel Embiid,"$6,100,266"
Joffrey Lauvergne,"$1,524,305"
John Collins,"$1,936,920"
John Henson,"$11,422,536"
John Holland,"$77,250"
John Wall,"$18,063,850"
Johnathan Motley,"$77,250"
Johnny O'Bryant,"$1,524,305"
Jon Leuer,"$10,497,319"
Jonas Jerebko,"$4,000,000"
Jonas Valanciunas,"$15,460,675"
Jonathan Gibson,"$74,158"
Jonathan Isaac,"$4,186,320"
Jonathon Simmons,"$6,300,000"
Jordan Bell,"$815,615"
Jordan Clarkson,"$11,562,500"
Jordan Crawford,"$1,709,538"
Jordan Mickey,"$1,471,382"
Jose Calderon,"$2,328,652"
Jose Juan Barea,"$3,903,900"
Joseph Young,"$1,471,382"
Josh Gray,"$92,159"
Josh Hart,"$1,394,520"
Josh Huestis,"$1,471,382"
Josh Jackson,"$5,090,040"
Josh Magette,"$77,250"
Josh McRoberts,"$6,021,175"
Josh Richardson,"$1,471,382"
Josh Smith,"$5,514,806"
JR Smith,"$13,760,000"
Jrue Holiday,"$25,686,667"
Juan Hernangomez,"$2,076,840"
Julius Randle,"$4,149,242"
Julyan Stone,"$1,524,305"
Justin Anderson,"$1,579,440"
Justin Hamilton,"$1,000,000"
Justin Holiday,"$4,500,000"
Justin Jackson,"$2,365,560"
Justin Patton,"$2,247,480"
Justise Winslow,"$2,705,040"
Jusuf Nurkic,"$2,947,304"
Kadeem Allen,"$77,250"
Karl-Anthony Towns,"$6,216,840"
Kawhi Leonard,"$18,868,625"
Kay Felder,"$551,866"
Kelly Olynyk,"$12,007,169"
Kelly Oubre,"$2,093,040"
Kemba Walker,"$12,000,000"
Kendrick Perkins,"$131,562"
Kenneth Faried,"$12,921,348"
Kent Bazemore,"$16,910,112"
Kentavious Caldwell-Pope,"$17,745,894"
Kevin Durant,"$25,000,000"
Kevin Love,"$22,642,350"
Kevon Looney,"$1,471,382"
Khem Birch,"$815,615"
Khris Middleton,"$14,100,000"
KJ McDaniels,"$100,000"
Klay Thompson,"$17,826,150"
Kobi Simmons,"$77,250"
Kosta Koufos,"$8,393,000"
Kris Dunn,"$4,046,760"
Kristaps Porzingis,"$4,503,600"
Kyle Anderson,"$2,151,704"
Kyle Collinsworth,"$595,702"
Kyle Korver,"$7,000,000"
Kyle Kuzma,"$1,423,560"
Kyle Lowry,"$28,903,704"
Kyle O'Quinn,"$4,087,500"
Kyle Singler,"$4,666,500"
Kyrie Irving,"$18,868,626"
LaMarcus Aldridge,"$21,461,010"
Lance Stephenson,"$4,180,000"
Lance Thomas,"$6,655,325"
Landry Nnoko,"$50,000"
Langston Galloway,"$6,666,667"
Larry Drew II,"$222,474"
Larry Nance Jr,"$1,471,382"
Larry Sanders,"$5,000,000"
Lauri Markkanen,"$3,821,640"
Lavoy Allen,"$3,500,000"
Leandro Barbosa,"$500,000"
LeBron James,"$33,285,709"
Livio Jean-Charles,"$1,242,240"
London Perrantes,"$77,250"
Lonzo Ball,"$6,286,560"
Lorenzo Brown,"$77,250"
Louis Williams,"$7,000,000"
Luc Mbah a Moute,"$2,116,955"
Lucas Nogueira,"$2,947,304"
Luis Montero,"$77,250"
Luke Babbitt,"$1,974,159"
Luke Kennard,"$2,759,280"
Luke Kornet,"$77,250"
Luol Deng,"$17,190,000"
Malachi Richardson,"$1,504,560"
Malcolm Brogdon,"$1,312,611"
Malcolm Delaney,"$2,500,000"
Malcolm Miller,"$77,250"
Malik Beasley,"$1,700,640"
Malik Monk,"$2,904,480"
Mangok Mathiang,"$77,250"
Manu Ginobili,"$2,500,000"
Marc Gasol,"$22,642,350"
Marcin Gortat,"$12,782,609"
Marco Belinelli,"$7,082,277"
Marcus Georges-Hunt,"$1,312,611"
Marcus Morris,"$5,000,000"
Marcus Paige,"$77,250"
Marcus Smart,"$4,538,019"
Marcus Thornton II,"$46,079"
Mario Chalmers,"$2,106,407"
Mario Hezonja,"$4,078,320"
Markel Brown,"$77,250"
Markelle Fultz,"$7,026,240"
Markieff Morris,"$8,000,000"
Marquese Chriss,"$3,073,800"
Marquis Teague,"$157,944"
Marreese Speights,"$2,116,955"
Marshall Plumlee,"$77,250"
MarShon Brooks,"$86,118"
Marvin Williams,"$13,168,750"
Mason Plumlee,"$14,041,096"
Matt Barnes,"$6,400,625"
Matt Costello,"$77,250"
Matt Williams,"$77,250"
Matthew Dellavedova,"$9,607,500"
Maxi Kleber,"$815,615"
Meyers Leonard,"$9,904,495"
Michael Beasley,"$2,116,955"
Michael Carter-Williams,"$2,700,000"
Michael Gbinije,"$500,000"
Michael Kidd-Gilchrist,"$13,000,000"
Michael Young,"$77,250"
Mike Conley,"$28,530,608"
Mike Dunleavy,"$1,600,000"
Mike James,"$164,802"
Mike Muscala,"$5,000,000"
Mike Scott,"$1,709,538"
Miles Plumlee,"$12,400,000"
Milos Teodosic,"$6,000,000"
Milton Doyle,"$127,250"
Mindaugas Kuzminskas,"$3,028,410"
Mirza Teletovic,"$10,500,000"
Moe Harkless,"$10,662,922"
Monta Ellis,"$2,245,400"
Monte Morris,"$77,250"
Montrezl Harrell,"$1,471,382"
Myke Henry,"$77,250"
Myles Turner,"$2,483,040"
Nate Wolters,"$77,250"
Naz Long,"$167,158"
Nemanja Bjelica,"$3,950,000"
Nenê,"$3,477,600"
Nerlens Noel,"$4,187,599"
Nick Collison,"$2,328,652"
Nick Young,"$5,192,000"
Nicolas Batum,"$22,434,783"
Nicolas Brussino,"$393,041"
Nigel Hayes,"$193,532"
Nik Stauskas,"$3,807,146"
Nikola Jokic,"$1,471,382"
Nikola Mirotic,"$12,500,000"
Nikola Pekovic,"$11,600,000"
Nikola Vucevic,"$12,250,000"
Noah Vonleh,"$4,031,018"
Norman Powell,"$1,471,382"
OG Anunoby,"$1,645,200"
Okaro White,"$1,460,927"
Omari Johnson,"$170,495"
Omer Asik,"$10,595,505"
Omri Casspi,"$2,106,470"
Otto Porter,"$24,773,250"
Pascal Siakam,"$1,312,611"
Pat Connaughton,"$1,471,382"
Patrick Beverley,"$5,513,514"
Patrick McCaw,"$1,312,611"
Patrick Mills,"$10,714,286"
Patrick Patterson,"$5,192,000"
Pau Gasol,"$16,000,000"
Paul George,"$19,300,000"
Paul Millsap,"$30,769,231"
Paul Pierce,"$3,679,840"
Paul Zipser,"$1,312,611"
PJ Dozier,"$77,250"
PJ Tucker,"$7,590,035"
Quincy Acy,"$1,709,538"
Quincy Pondexter,"$3,853,931"
Quinn Cook,"$189,832"
Rade Zagorac,"$950,000"
Rajon Rondo,"$6,300,000"
Ramon Sessions,"$2,986,463"
Rashad Vaughn,"$2,338,653"
Raul Neto,"$1,471,382"
Raymond Felton,"$2,328,652"
Reggie Bullock,"$2,500,000"
Reggie Hearn,"$77,250"
Reggie Jackson,"$16,000,000"
Richard Jefferson,"$4,828,652"
Richaun Holmes,"$1,471,382"
Ricky Rubio,"$14,100,000"
RJ Hunter,"$77,250"
Robert Covington,"$16,698,103"
Robin Lopez,"$13,788,500"
Rodney Hood,"$2,386,864"
Rodney McGruder,"$1,312,611"
Rodney Purvis,"$165,887"
Ron Baker,"$4,328,000"
Rondae Hollis-Jefferson,"$1,455,720"
Ronnie Price,"$2,442,455"
Royce O'Neale,"$815,615"
Rudy Gay,"$8,406,000"
Rudy Gobert,"$21,224,719"
Russell Westbrook,"$28,299,399"
Ryan Anderson,"$19,578,455"
Ryan Arcidiacono,"$77,250"
Salah Mejri,"$1,471,382"
Sam Dekker,"$1,794,600"
Scotty Hopson,"$74,158"
Sean Kilpatrick,"$4,774,445"
Semi Ojeleye,"$1,291,892"
Serge Ibaka,"$20,061,729"
Seth Curry,"$3,028,410"
Shabazz Muhammad,"$1,924,755"
Shabazz Napier,"$2,361,359"
Shane Larkin,"$1,524,305"
Shaquille Harrison,"$230,399"
Shaun Livingston,"$7,692,308"
Sheldon Mac,"$1,312,611"
Shelvin Mack,"$6,000,000"
Sindarius Thornwell,"$815,615"
Skal Labissiere,"$1,312,611"
Solomon Hill,"$12,236,535"
Spencer Dinwiddie,"$1,524,305"
Spencer Hawes,"$2,007,058"
Stanley Johnson,"$3,097,800"
Stephen Curry,"$34,682,550"
Sterling Brown,"$815,615"
Steven Adams,"$22,471,911"
Taj Gibson,"$14,000,000"
Tarik Black,"$3,290,000"
Taurean Prince,"$2,422,560"
Terrance Ferguson,"$1,785,000"
Terrence Ross,"$10,500,000"
Terry Rozier,"$1,988,520"
Thabo Sefolosha,"$5,250,000"
Thaddeus Young,"$12,921,348"
Thomas Bryant,"$815,615"
Thon Maker,"$3,086,784"
Tim Frazier,"$2,000,000"
Tim Hardaway Jr,"$16,500,000"
Tim Quarterman,"$96,406"
Timofey Mozgov,"$15,280,000"
Timothe Luwawu,"$1,594,590"
TJ Leaf,"$2,028,360"
TJ McConnell,"$1,471,382"
TJ Warren,"$3,152,930"
Tobias Harris,"$16,000,000"
Tomas Satoransky,"$3,000,000"
Tony Allen,"$1,471,382"
Tony Bradley,"$1,414,920"
Tony Parker,"$15,453,126"
Tony Snell,"$9,821,429"
Torrey Craig,"$77,250"
Travis Wear,"$304,051"
Treveon Graham,"$1,312,611"
Trevor Ariza,"$7,400,000"
Trevor Booker,"$9,571,137"
Trey Burke,"$784,160"
Trey Lyles,"$2,441,400"
Trey McKinney-Jones,"$46,079"
Tristan Thompson,"$16,400,000"
Troy Daniels,"$3,408,520"
Troy Williams,"$1,842,176"
Ty Lawson,"$119,009"
Tyler Cavanaugh,"$77,250"
Tyler Dorsey,"$815,615"
Tyler Ennis,"$1,524,305"
Tyler Johnson,"$5,821,260"
Tyler Lydon,"$1,579,440"
Tyler Ulis,"$1,312,611"
Tyler Zeller,"$1,709,538"
Tyreke Evans,"$3,290,000"
Tyrone Wallace,"$77,250"
Tyson Chandler,"$13,000,000"
Tyus Jones,"$1,471,382"
Udonis Haslem,"$2,328,652"
Vander Blue,"$77,250"
Victor Oladipo,"$21,000,000"
Vince Carter,"$8,000,000"
Vince Hunter,"$77,250"
VJ Beachem,"$50,000"
Wade Baldwin,"$2,254,292"
Walter Lemon Jr,"$92,159"
Wayne Ellington,"$6,270,000"
Wayne Selden,"$1,312,611"
Wesley Iwundu,"$1,050,000"
Wesley Johnson,"$5,881,260"
Wesley Matthews,"$17,884,175"
Will Barton,"$3,533,333"
Willie Cauley-Stein,"$3,704,160"
Willie Reed,"$1,471,382"
Willy Hernangomez,"$1,435,750"
Wilson Chandler,"$12,016,854"
Xavier Munford,"$77,250"
Xavier Silas,"$74,158"
Yakuba Ouattara,"$77,250"
Yogi Ferrell,"$1,312,611"
Zach Collins,"$3,057,240"
Zach LaVine,"$3,202,217"
Zach Randolph,"$12,307,692"
Zaza Pachulia,"$3,477,600"
Zhou Qi,"$815,615"
